path	occurrences	correct_entities	is_rule	relation
_PCiC NO_OP PCiC	181	0	no	CiC
CuG _GcG _GiG	165	0	no	CiC
CbG GpPW _GpPW	151	0	no	CiC
CuG GcG GpBP	151	0	no	CiC
CdG GcG GcG	150	0	no	CiC
_PCiC PCiC _PCiC	150	0	no	CiC
_PCiC NO_OP NO_OP	147	0	no	CiC
CuG _GcG Gr>G	146	0	no	CiC
CdG GpMF _GpMF	142	0	no	CiC
CbG _GcG GcG	140	0	no	CiC
CuG _GcG NO_OP	139	0	no	CiC
CtD _CtD CiC	139	11	no	CiC
CbG GpBP _GpBP	136	0	no	CiC
CrC _CrC CiC	126	27	no	CiC
CbG _GcG _GcG	123	0	no	CiC
CuG GcG _GiG	121	0	no	CiC
CdG GiG GcG	119	0	no	CiC
CuG _GcG _AeG	116	0	no	CiC
CuG GpCC _GpCC	101	0	no	CiC
CuG GcG GiG	101	0	no	CiC
CdG GcG _GiG	96	0	no	CiC
CdG _GcG Gr>G	96	0	no	CiC
CbG GpMF _GpMF	94	0	no	CiC
CrC CrC CiC	92	4	no	CiC
CuG GiG GpMF	92	0	no	CiC
CuG NO_OP GcG	89	0	no	CiC
CuG NO_OP _GcG	89	0	no	CiC
CuG GiG Gr>G	88	0	no	CiC
CuG GiG GpBP	84	0	no	CiC
CdG GcG GiG	84	0	no	CiC
CdG NO_OP _Gr>G	79	0	no	CiC
CtD DpS NO_OP	78	0	no	CiC
CrC _CrC CbG	78	0	no	CiC
CuG _GcG GpCC	74	0	no	CiC
CdG _CdG CiC	73	9	no	CiC
CbG _CeG CiC	72	0	yes	CiC
CuG GiG GcG	72	0	no	CiC
CbG _CtG CiC	69	1	no	CiC
CdG GiG GiG	65	0	no	CiC
CrC CbA NO_OP	64	0	no	CiC
CiC CiC _CrC	64	0	no	CiC
CbG GpBP NO_OP	64	0	no	CiC
CbG _GcG _AeG	60	0	no	CiC
CuG _GiG GpPW	56	0	no	CiC
CuG _GiG _GcG	56	0	no	CiC
CuG GcG _DuG	55	0	no	CiC
CuG _CtG _CrC	54	0	no	CiC
CrC NO_OP _CrC	54	0	no	CiC
CiC CbA NO_OP	52	0	no	CiC
CbG _CtG CbG	51	0	no	CiC
CiC CcSE _CcSE	49	0	yes	CiC
CdG _CtG CbG	49	0	no	CiC
CiC _CiC CtG	45	0	no	CiC
CrC NO_OP CbA	45	0	no	CiC
CrC _CrC CrC	44	0	no	CiC
CdG GiG GpPW	44	0	no	CiC
CdG _GcG GpBP	42	0	no	CiC
CtD DpS _DpS	39	0	no	CiC
CtD DaG _GcG	39	0	no	CiC
CuG GcG GpPW	39	0	no	CiC
CdG _GiG GiG	38	0	no	CiC
CiC CiC CiC	38	1	yes	CiC
CuG _GcG _DdG	36	0	no	CiC
CuG _GcG _AdG	36	0	no	CiC
CbG _GcG _AdG	36	0	no	CiC
CuG GcG GpMF	35	0	no	CiC
CdG GiG GpMF	34	0	no	CiC
CdG GiG _GcG	34	0	no	CiC
CuG Gr>G _GcG	34	0	no	CiC
CbG GpCC _GpCC	33	0	no	CiC
CuG _GcG _DuG	30	0	no	CiC
CdG _GcG NO_OP	30	0	no	CiC
CrC CbG GpMF	30	0	no	CiC
CdG _GiG GpPW	30	0	no	CiC
CuG GiG _DuG	30	0	no	CiC
CdG GcG GpMF	29	0	no	CiC
CdG _GcG GiG	29	0	no	CiC
CdG NO_OP _CdG	29	0	no	CiC
CuG GcG NO_OP	28	0	no	CiC
CdG NO_OP NO_OP	28	0	no	CiC
CbG GiG _GcG	28	0	no	CiC
CbG _CbG CcSE	28	0	no	CiC
CbA _CbA CbA	27	0	no	CiC
CuG _CtG CtG	27	0	no	CiC
CuG _GiG GpMF	27	0	no	CiC
CdG GpBP NO_OP	27	0	no	CiC
CrC _CrC CbA	26	0	no	CiC
CtD DaG GiG	26	0	no	CiC
CuG GcG _AuG	26	0	no	CiC
CiC _PCiC PCiC	26	5	no	CiC
CbG _CtG CeG	26	0	no	CiC
CbG _GcG GpBP	26	0	no	CiC
CdG GpCC _GpCC	26	0	no	CiC
CdG GcG GpPW	24	0	no	CiC
CbG _GcG _AuG	24	0	no	CiC
CbG _CtG CbA	24	0	no	CiC
CdG GpBP _GpBP	23	0	no	CiC
CdG _GcG _GiG	22	0	no	CiC
CuG _GiG GcG	22	0	no	CiC
CiC CcSE NO_OP	22	0	no	CiC
CuG _GiG _DuG	22	0	no	CiC
CuG GpBP NO_OP	22	0	no	CiC
CuG Gr>G GiG	21	0	no	CiC
_PCiC PCiC CcSE	20	0	no	CiC
_PCiC PCiC CbG	20	0	no	CiC
CrC CrC _CrC	20	0	no	CiC
CuG NO_OP NO_OP	19	0	no	CiC
CbG _CtG NO_OP	19	0	no	CiC
CrC _CrC _CrC	19	1	no	CiC
CrC CcSE _CcSE	18	0	no	CiC
CdG GiG NO_OP	17	0	no	CiC
CbG _GcG GpPW	17	0	no	CiC
CuG _CdG CiC	17	1	no	CiC
_PCiC PCiC CbA	16	0	no	CiC
CuG GiG NO_OP	16	0	no	CiC
CuG GcG _DdG	16	0	no	CiC
CdG NO_OP _GiG	16	0	no	CiC
CdG NO_OP _CuG	16	0	no	CiC
CcSE _CcSE _PCiC	15	0	no	CiC
_CiC CiC CbG	14	0	no	CiC
CiC CiC CcSE	14	0	no	CiC
CdG _GcG _DdG	14	0	no	CiC
CuG _GcG _Gr>G	14	0	no	CiC
CdG NO_OP GpCC	14	0	no	CiC
CuG _Gr>G GiG	14	0	no	CiC
CuG NO_OP GpBP	14	0	no	CiC
CrC _CrC NO_OP	13	0	no	CiC
CuG GcG Gr>G	13	0	no	CiC
CuG NO_OP GiG	13	0	no	CiC
CdG _GcG GpPW	13	0	no	CiC
CiC _CrC _CiC	13	0	no	CiC
CbG NO_OP _CbG	12	0	no	CiC
CbG _CbG CbG	12	0	no	CiC
_PCiC PCiC CiC	11	7	no	CiC
CuG NO_OP GpCC	10	0	no	CiC
CiC CiC CuG	9	0	no	CiC
CbA _CbA CcSE	9	0	no	CiC
CrC CcSE NO_OP	9	0	no	CiC
CrC NO_OP NO_OP	9	0	yes	CiC
CrC NO_OP CbG	9	0	no	CiC
CrC NO_OP CrC	9	0	no	CiC
CrC _CrC CcSE	9	0	no	CiC
CrC CbG GcG	9	0	no	CiC
CdG _GcG _DuG	8	0	no	CiC
CdG _GcG _AeG	8	0	no	CiC
CdG GiG _DdG	8	0	no	CiC
CdG NO_OP GiG	8	0	no	CiC
CdG NO_OP _AuG	8	0	no	CiC
CrC _CrC _CiC	8	0	no	CiC
CbG _GcG NO_OP	8	0	no	CiC
CbG GcG GiG	8	0	no	CiC
CbG _GcG GpMF	8	0	no	CiC
CiC CrC _CiC	8	0	no	CiC
CdG _CtG CtG	8	0	no	CiC
CdG NO_OP _DdG	8	0	no	CiC
CdG _GiG _GcG	8	0	no	CiC
CdG NO_OP GpBP	8	0	no	CiC
CuG GiG _CtG	8	0	no	CiC
CdG _Gr>G GiG	8	0	no	CiC
CdG _GcG GpMF	8	0	no	CiC
CrC CrC CbG	8	0	no	CiC
CrC CrC CeG	8	0	no	CiC
CdG NO_OP _DuG	7	0	no	CiC
CdG _GiG _GiG	7	0	no	CiC
CdG GcG GpBP	7	0	no	CiC
CdG GcG _CtG	7	0	no	CiC
CuG _Gr>G GpPW	7	0	no	CiC
CuG _Gr>G _GcG	7	0	no	CiC
CiC CbA _CbA	6	0	no	CiC
CuG NO_OP _DuG	5	0	no	CiC
CuG _GcG _CtG	5	0	no	CiC
CuG GiG _DaG	5	0	no	CiC
CuG NO_OP _GiG	5	0	no	CiC
CuG NO_OP _AuG	5	0	no	CiC
CiC CiC CpD	5	0	no	CiC
CbA _CbA CiC	5	0	no	CiC
CdG NO_OP _AeG	4	0	no	CiC
CdG NO_OP _AdG	4	0	no	CiC
CbG _GcG _DuG	4	0	no	CiC
CbG GcG GcG	4	0	no	CiC
CbG GcG _DuG	4	0	no	CiC
CbG GcG _GiG	4	0	no	CiC
CbG NO_OP NO_OP	4	0	no	CiC
CbG GiG GpMF	4	0	no	CiC
CbG GcG GpMF	4	0	no	CiC
CrC CrC CbA	4	0	no	CiC
CrC CrC NO_OP	4	0	no	CiC
CrC CrC _PCiC	4	0	no	CiC
CrC CrC CtG	4	0	no	CiC
CrC CbG Gr>G	4	0	no	CiC
_CrC NO_OP NO_OP	3	0	yes	CiC
_CrC NO_OP CbG	3	0	no	CiC
_CrC NO_OP CrC	3	0	no	CiC
_CrC NO_OP CtG	3	0	no	CiC
####################
