path	occurrences	correct_entities	is_rule	relation
CiC CtG GpBP	120	0	no	CiC
CcSE _CcSE NO_OP	119	0	no	CiC
CuG GcG _AeG	117	0	no	CiC
CbG _GcG GpBP	113	0	no	CiC
CrC _CrC CiC	108	0	no	CiC
CdG GpPW NO_OP	107	0	no	CiC
CdG GpMF _GpMF	105	0	no	CiC
CiC CrC CbA	104	0	no	CiC
CrC NO_OP _CrC	100	0	no	CiC
CcSE _CcSE _CrC	98	0	no	CiC
CbG _CeG CbG	97	0	no	CiC
CbG _CeG CeG	97	0	no	CiC
CdG GcG _AeG	96	0	no	CiC
CuG _Gr>G GpBP	91	0	no	CiC
CuG _CdG CcSE	90	0	no	CiC
CbG _CbG CiC	85	7	yes	CiC
CuG GpMF NO_OP	83	0	no	CiC
CbG _CbG CbG	81	0	no	CiC
CbG _CbG CeG	81	0	no	CiC
CcSE _CcSE CtG	81	0	no	CiC
CdG _CdG CiC	79	5	no	CiC
CrC NO_OP CbG	78	0	no	CiC
CpD DlA _DlA	75	0	no	CiC
CiC _CrC CrC	73	0	no	CiC
CrC _CrC CbG	68	0	no	CiC
CcSE _CcSE CbA	63	0	no	CiC
CuG GcG NO_OP	63	0	no	CiC
CdG _GiG GpBP	63	0	no	CiC
CuG NO_OP _GiG	61	0	no	CiC
CbG _CeG CiC	60	6	yes	CiC
CbG _CeG NO_OP	58	0	no	CiC
CbG _CbG CrC	54	0	no	CiC
CiC CrC CrC	54	0	no	CiC
CdG GiG _GiG	54	0	no	CiC
CdG NO_OP _GiG	54	0	no	CiC
CuG GiG _GiG	50	0	no	CiC
CdG GcG _AdG	48	0	no	CiC
CrC NO_OP CbA	47	0	no	CiC
CdG GcG GpBP	46	0	no	CiC
CiC _CiC CtD	45	0	no	CiC
CdG NO_OP GcG	45	0	no	CiC
CdG GcG GcG	42	0	no	CiC
CuG GpPW NO_OP	41	0	no	CiC
CiC NO_OP CiC	41	0	no	CiC
CuG NO_OP _CuG	40	0	no	CiC
CbG GcG _AeG	40	0	no	CiC
CrC _CrC CbA	39	0	no	CiC
CdG GpCC NO_OP	39	0	no	CiC
CuG GcG _GiG	39	0	no	CiC
CdG NO_OP _AuG	39	0	no	CiC
CiC _CrC CbA	37	0	no	CiC
CuG _GcG GpPW	36	0	no	CiC
CbG GcG _GcG	36	0	no	CiC
CuG NO_OP NO_OP	35	0	no	CiC
CuG _GcG GpCC	35	0	no	CiC
CcSE _CcSE _PCiC	34	0	no	CiC
CbG _GcG GpPW	34	0	no	CiC
CdG NO_OP NO_OP	32	0	no	CiC
CrC CrC _CrC	32	0	no	CiC
CbG _CeG _CrC	31	0	no	CiC
CbG GpPW NO_OP	30	0	no	CiC
CdG NO_OP _CuG	30	0	no	CiC
CdG GiG _AeG	30	0	no	CiC
_CrC CiC _CiC	30	0	no	CiC
CiC NO_OP CbA	29	0	no	CiC
CiC CiC CtG	29	0	no	CiC
CuG _GiG _AdG	28	0	no	CiC
CuG _GiG _AuG	28	0	no	CiC
CbG _GcG _AeG	28	0	no	CiC
CbG _CbG _CrC	27	0	no	CiC
CbG _CbG NO_OP	27	0	no	CiC
CbG _CeG CbA	27	0	no	CiC
CuG NO_OP _AdG	27	0	no	CiC
CbG GcG GcG	24	0	no	CiC
CdG _Gr>G Gr>G	24	0	no	CiC
CuG _GiG _GiG	23	0	no	CiC
CrC NO_OP NO_OP	22	0	yes	CiC
CuG GpCC NO_OP	22	0	no	CiC
CdG _AeG NO_OP	22	0	no	CiC
CuG _GcG _GiG	22	0	no	CiC
CdG GcG NO_OP	21	0	no	CiC
CcSE _CcSE CtD	21	0	no	CiC
CbG _GcG GcG	21	0	no	CiC
CuG NO_OP GcG	20	0	no	CiC
CbA NO_OP _CbA	20	0	no	CiC
CbA NO_OP NO_OP	19	0	no	CiC
CuG NO_OP GiG	19	0	no	CiC
CbG GpBP NO_OP	18	0	no	CiC
CdG _GcG _GcG	18	0	no	CiC
CuG NO_OP _AuG	18	0	no	CiC
CdG _GiG GpPW	18	0	no	CiC
CuG NO_OP _CdG	18	0	no	CiC
CuG NO_OP GpCC	18	0	no	CiC
CiC CiC CrC	17	0	yes	CiC
CcSE _CcSE CuG	17	0	no	CiC
CdG NO_OP _AdG	17	0	no	CiC
CuG _GcG NO_OP	17	0	no	CiC
CdG GcG _AuG	16	0	no	CiC
CuG _GiG GpPW	16	0	no	CiC
CuG _GiG GiG	16	0	no	CiC
CuG _GcG _AdG	16	0	no	CiC
CuG _GcG _AuG	16	0	no	CiC
CdG GiG GcG	15	0	no	CiC
CdG NO_OP GiG	15	0	no	CiC
CdG GiG _GcG	15	0	no	CiC
CdG _GcG GcG	15	0	no	CiC
CdG NO_OP _GcG	15	0	no	CiC
CdG NO_OP GpPW	15	0	no	CiC
CdG _GcG _CdG	15	0	no	CiC
CdG _GcG _CuG	15	0	no	CiC
CdG NO_OP GpBP	15	0	no	CiC
CiC _CrC _CrC	15	0	no	CiC
CuG GcG _AdG	15	0	no	CiC
CpD DlA NO_OP	15	0	no	CiC
CdG _CdG CrC	14	0	no	CiC
CuG GiG GpBP	14	0	no	CiC
CiC _CiC _PCiC	14	0	no	CiC
CiC CbA _CbA	14	1	no	CiC
CrC _CrC NO_OP	13	0	no	CiC
CrC NO_OP CtG	13	0	no	CiC
CrC _CrC CtG	13	0	no	CiC
CbG NO_OP NO_OP	13	0	no	CiC
CuG NO_OP _DuG	13	0	no	CiC
CuG NO_OP _DdG	13	0	no	CiC
CcSE _CcSE CdG	13	0	no	CiC
CbG GpMF NO_OP	13	0	no	CiC
CbG _GcG _GcG	13	0	no	CiC
CbG _GcG GpMF	13	0	no	CiC
CiC CtG _CbG	13	0	no	CiC
CiC CiC CbG	13	0	no	CiC
CiC _CiC _CiC	12	0	yes	CiC
CbG NO_OP GcG	12	0	no	CiC
CdG _Gr>G GpBP	12	0	no	CiC
CuG GiG GiG	12	0	no	CiC
CdG _CuG CcSE	12	0	no	CiC
CuG GiG _CdG	12	0	no	CiC
CiC _PCiC PCiC	11	0	no	CiC
CiC CiC NO_OP	11	0	no	CiC
CdG _GiG GiG	10	0	no	CiC
CdG GpMF NO_OP	9	0	no	CiC
CiC CbG NO_OP	9	0	no	CiC
CuG NO_OP _GcG	9	0	no	CiC
CuG _GcG GpMF	9	0	no	CiC
CdG _GiG GcG	9	0	no	CiC
CdG GiG GpBP	9	0	no	CiC
CdG GiG NO_OP	9	0	no	CiC
CbG NO_OP GpPW	8	0	no	CiC
CiC CtG _CcG	8	0	no	CiC
CcSE _CcSE CeG	8	0	no	CiC
CbG _GiG _Gr>G	8	0	no	CiC
CuG _CuG CiC	8	0	no	CiC
CbG _GiG _GiG	8	0	no	CiC
CuG _CdG CrC	8	0	no	CiC
CbG _GiG Gr>G	8	0	no	CiC
CbG GiG GpBP	8	0	no	CiC
CuG NO_OP GpPW	7	0	no	CiC
CuG _GcG _DdG	7	0	no	CiC
CuG _GcG _GcG	7	0	no	CiC
CrC NO_OP CrC	6	0	no	CiC
CuG GiG GpCC	6	0	no	CiC
CuG _GiG GpCC	6	0	no	CiC
CuG _GcG GiG	6	0	no	CiC
CrC CrC CiC	4	0	no	CiC
CrC CrC NO_OP	4	0	no	CiC
CbG GcG _DuG	4	0	no	CiC
CbG _GcG _AdG	4	0	no	CiC
CbG GcG _GiG	4	0	no	CiC
CbG NO_OP Gr>G	4	0	no	CiC
CbG NO_OP _GiG	4	0	no	CiC
CbG NO_OP GpBP	4	0	no	CiC
CbG _GiG _DdG	4	0	no	CiC
CuG _GiG NO_OP	4	0	no	CiC
CbG _GcG _AuG	4	0	no	CiC
CuG _GiG GcG	4	0	no	CiC
CbG NO_OP _GcG	4	0	no	CiC
CbG GcG _AuG	4	0	no	CiC
CbG _GiG GiG	4	0	no	CiC
CbG GiG _CdG	4	0	no	CiC
CbG GiG Gr>G	4	0	no	CiC
CdG _Gr>G _CeG	4	0	no	CiC
CuG GcG _DdG	4	0	no	CiC
_CrC NO_OP NO_OP	4	0	yes	CiC
CiC CiC CcSE	2	0	no	CiC
####################
